id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_penanaman_pohon,satuan,tahun
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1211.05,HEKTAR,2018
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,405.0,HEKTAR,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1367.72,HEKTAR,2018
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,135.0,HEKTAR,2018
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,120.0,HEKTAR,2018
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,366.02,HEKTAR,2018
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,652.25,HEKTAR,2018
154,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2018
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2018
156,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2018
157,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2018
158,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2018
159,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2018
160,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2018
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,45.225,HEKTAR,2018
162,32,JAWA BARAT,3279,KOTA BANJAR,70.0,HEKTAR,2018
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,1431.55,HEKTAR,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3578.83,HEKTAR,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2452.69,HEKTAR,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1132.06,HEKTAR,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,10938.99,HEKTAR,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2101.56,HEKTAR,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,791.92,HEKTAR,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2153.45,HEKTAR,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,87.8,HEKTAR,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2969.25,HEKTAR,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2795.57,HEKTAR,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1367.03,HEKTAR,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,730.0,HEKTAR,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4218.24,HEKTAR,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,HEKTAR,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,HEKTAR,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1103.5,HEKTAR,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,42.0,HEKTAR,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,HEKTAR,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,0.0,HEKTAR,2019
