id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi_sampah,satuan,tahun
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,540.0,TON PER HARI,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,1096.0,TON PER HARI,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,518.0,TON PER HARI,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,438.0,TON PER HARI,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1077.0,TON PER HARI,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,1023.0,TON PER HARI,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,388.0,TON PER HARI,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,942.0,TON PER HARI,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,2258.0,TON PER HARI,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1135.0,TON PER HARI,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,252.0,TON PER HARI,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,567.0,TON PER HARI,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,181.0,TON PER HARI,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,1630.0,TON PER HARI,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,192.0,TON PER HARI,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,1923.0,TON PER HARI,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,1516.0,TON PER HARI,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,369.0,TON PER HARI,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,285.0,TON PER HARI,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,79.0,TON PER HARI,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,971.59,TON PER HARI,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,356.02,TON PER HARI,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,355.69,TON PER HARI,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1489.04,TON PER HARI,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,321.17,TON PER HARI,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,172.26,TON PER HARI,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,159.41,TON PER HARI,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,405.76,TON PER HARI,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,242.52,TON PER HARI,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,546.54,TON PER HARI,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,707.75,TON PER HARI,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,792.48,TON PER HARI,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,739.6,TON PER HARI,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,239.72,TON PER HARI,2021
