id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_banjir,satuan,tahun
113,32,JAWA BARAT,3205,KABUPATEN GARUT,11,KEJADIAN,2016
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8,KEJADIAN,2016
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5,KEJADIAN,2016
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2,KEJADIAN,2016
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KEJADIAN,2016
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6,KEJADIAN,2016
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,13,KEJADIAN,2016
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4,KEJADIAN,2016
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,1,KEJADIAN,2016
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KEJADIAN,2016
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,13,KEJADIAN,2016
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,12,KEJADIAN,2016
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3,KEJADIAN,2016
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6,KEJADIAN,2016
127,32,JAWA BARAT,3271,KOTA BOGOR,2,KEJADIAN,2016
128,32,JAWA BARAT,3272,KOTA SUKABUMI,2,KEJADIAN,2016
129,32,JAWA BARAT,3273,KOTA BANDUNG,7,KEJADIAN,2016
130,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2016
131,32,JAWA BARAT,3275,KOTA BEKASI,9,KEJADIAN,2016
132,32,JAWA BARAT,3276,KOTA DEPOK,1,KEJADIAN,2016
133,32,JAWA BARAT,3277,KOTA CIMAHI,9,KEJADIAN,2016
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,KEJADIAN,2016
135,32,JAWA BARAT,3279,KOTA BANJAR,1,KEJADIAN,2016
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,20,KEJADIAN,2017
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19,KEJADIAN,2017
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5,KEJADIAN,2017
