id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_hutan_rakyat,satuan,tahun
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,18429.2,HEKTAR,2016
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7531.0,HEKTAR,2016
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2742.5,HEKTAR,2016
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,748.85,HEKTAR,2016
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1285.0,HEKTAR,2016
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,33136.0,HEKTAR,2016
181,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2016
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2016
183,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2016
184,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2016
185,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2016
186,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2016
187,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2016
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4556.7,HEKTAR,2016
189,32,JAWA BARAT,3279,KOTA BANJAR,0.0,HEKTAR,2016
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,40178.87,HEKTAR,2017
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,57879.25,HEKTAR,2017
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,65766.52,HEKTAR,2017
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,29680.46,HEKTAR,2017
194,32,JAWA BARAT,3205,KABUPATEN GARUT,36025.79,HEKTAR,2017
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,50839.46,HEKTAR,2017
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,23940.47,HEKTAR,2017
